ID,type,subtype,region,province,district,locality,localityType,postalCode,address,latitude,longitude,condition,constructionYear,price,pricePerMeter,bedroomCount,netHabitableSurface,floor,floorCount,hasLift,facadeCount,hasGarden,gardenSurface,hasTerrace,terraceSurface,land,kitchen,bathroomCount,showerRoomCount,toiletCount,fireplaceExists,hasSwimmingPool,hasAirConditioning,parkingCountIndoor,parkingCountOutdoor,parkingCountClosedBox,primaryEnergyConsumptionPerSqm,epcScore,hasDoubleGlazing,saleType
10616910,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,Heusden,4,3550,Korenhof 14,51.0190223,5.3074674,AS_NEW,2013.0,399000.0,3192.0,2.0,125.0,1.0,,True,,,,True,24.0,,USA_INSTALLED,1.0,0.0,1.0,False,False,False,1.0,1.0,,142.0,B,True,
10616880,APARTMENT,APARTMENT,Flanders,Antwerp,Turnhout,Mol,3,2400,Corbiestraat 98,51.1899696,5.1161747,GOOD,,218000.0,2565.0,2.0,85.0,1.0,,False,,,,True,,,INSTALLED,,0.0,1.0,False,False,,,,,92.0,A,True,
10616933,APARTMENT,APARTMENT,Flanders,West Flanders,Roeselare,Roeselare,3,8800,Meensesteenweg 30,50.9415404,3.1221493,TO_BE_DONE_UP,,95000.0,2317.0,1.0,41.0,2.0,,True,,,,,,,SEMI_EQUIPPED,,0.0,1.0,False,False,,,,,521.0,F,,
10616917,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,De Panne,4,8660,Kasteelstraat 9,51.0979245,2.5921772,,,169000.0,,1.0,,0.0,,,,,,,,,INSTALLED,,0.0,,False,,,,,,391.0,D,True,
10616913,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerpen,2,2050,August Vermeylenlaan 3,51.2327208,4.3788345,AS_NEW,,359000.0,3264.0,3.0,110.0,7.0,,True,2.0,True,1.0,True,1.0,,HYPER_EQUIPPED,,0.0,,False,False,False,,,,140.0,B,False,
10616926,APARTMENT,APARTMENT,Wallonie,Liège,Liège,JEMEPPE,3,4101,,,,,,165000.0,2357.0,2.0,70.0,0.0,,,,True,90.0,,,,,,1.0,1.0,True,,,,,,366.0,E,,
10616911,APARTMENT,APARTMENT,Wallonie,Walloon Brabant,Nivelles,Chaumont-Gistoux,4,1325,,,,AS_NEW,2014.0,423000.0,2729.0,3.0,155.0,2.0,3.0,True,4.0,,,True,,,HYPER_EQUIPPED,1.0,2.0,2.0,False,,,4.0,8.0,,112.0,B,True,
10616934,APARTMENT,GROUND_FLOOR,Wallonie,Liège,Liège,Liège,2,4020,Rue des Récollets 32,50.6410228,5.5836017,AS_NEW,1850.0,169000.0,3130.0,1.0,54.0,0.0,2.0,False,2.0,,,,,,HYPER_EQUIPPED,1.0,1.0,1.0,False,False,,,,,109.0,B,True,
10616833,APARTMENT,APARTMENT,Wallonie,Walloon Brabant,Nivelles,Braine-l'Alleud,4,1420,Avenue Blücher 20,50.6837238,4.3987014,AS_NEW,2025.0,275000.0,4167.0,1.0,66.0,1.0,3.0,True,3.0,,,True,9.0,,USA_HYPER_EQUIPPED,1.0,0.0,1.0,False,False,,53.0,53.0,,50.0,A,True,
10616966,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,Antwerpen,4,2170,Du Chastellei 65 A,51.2504238,4.4511647,GOOD,1975.0,185000.0,2500.0,2.0,74.0,3.0,,False,,,,,,,,1.0,0.0,1.0,False,,False,,,,238.0,C,True,
10485868,APARTMENT,APARTMENT,Wallonie,Hainaut,Mouscron,Mouscron,3,7700,,50.7361362,3.2158739,,,205186.0,2094.0,2.0,98.0,1.0,,False,,,,True,11.0,,,,0.0,,False,False,,,,,0.0,,False,
10616949,APARTMENT,APARTMENT,Flanders,East Flanders,Dendermonde,Baasrode (Dendermonde),3,9200,Baasrodestraat 115,51.0385613,4.1520277,GOOD,1998.0,199000.0,2884.0,2.0,69.0,0.0,4.0,False,3.0,,,,,,,1.0,0.0,,False,False,,,,,217.0,C,True,
