ID,type,typeNum,region,regionNum,province,provinceNum,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,conditionNum,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,gardenSurface,hasTerrace,terraceSurface,price
10616910,APARTMENT,2,Flanders,2,Limburg,5,Hasselt,3550,4,2.0,125.0,AS_NEW,1,1.0,0.0,1.0,1,0,0,0,0,0.0,1,24.0,399000.0
10616880,APARTMENT,2,Flanders,2,Antwerp,2,Turnhout,2400,3,2.0,85.0,GOOD,3,0.0,0.0,1.0,0,0,0,0,0,0.0,1,0.0,218000.0
10616933,APARTMENT,2,Flanders,2,West Flanders,6,Roeselare,8800,3,1.0,41.0,TO_BE_DONE_UP,4,0.0,0.0,1.0,1,0,0,0,0,0.0,0,0.0,95000.0
10616913,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2050,2,3.0,110.0,AS_NEW,1,0.0,0.0,0.0,1,0,0,0,1,1.0,1,1.0,359000.0
10616926,APARTMENT,2,Wallonie,3,Liège,8,Liège,4101,3,2.0,70.0,UNKNOWN,0,0.0,1.0,1.0,0,1,0,0,1,90.0,0,0.0,165000.0
10616911,APARTMENT,2,Wallonie,3,Walloon Brabant,11,Nivelles,1325,4,3.0,155.0,AS_NEW,1,1.0,2.0,2.0,1,0,0,0,0,0.0,1,0.0,423000.0
10616934,APARTMENT,2,Wallonie,3,Liège,8,Liège,4020,2,1.0,54.0,AS_NEW,1,1.0,1.0,1.0,0,0,0,0,0,0.0,0,0.0,169000.0
10616833,APARTMENT,2,Wallonie,3,Walloon Brabant,11,Nivelles,1420,4,1.0,66.0,AS_NEW,1,1.0,0.0,1.0,1,0,0,0,0,0.0,1,9.0,275000.0
10616966,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2170,4,2.0,74.0,GOOD,3,1.0,0.0,1.0,0,0,0,0,0,0.0,0,0.0,185000.0
10485868,APARTMENT,2,Wallonie,3,Hainaut,7,Mouscron,7700,3,2.0,98.0,UNKNOWN,0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,11.0,205186.0
10616949,APARTMENT,2,Flanders,2,East Flanders,3,Dendermonde,9200,3,2.0,69.0,GOOD,3,1.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,199000.0
10616967,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2180,4,2.0,92.0,TO_BE_DONE_UP,4,9.0,0.0,1.0,0,0,0,0,0,0.0,1,0.0,185000.0
10617013,APARTMENT,2,Flanders,2,East Flanders,3,Gent,9000,1,2.0,167.0,UNKNOWN,0,2.0,0.0,2.0,1,0,0,0,1,0.0,1,20.0,759000.0
10617020,APARTMENT,2,Flanders,2,Antwerp,2,Mechelen,2800,3,2.0,103.0,AS_NEW,1,1.0,0.0,0.0,1,0,0,0,1,0.0,1,0.0,339000.0
10617017,APARTMENT,2,Flanders,2,West Flanders,6,Roeselare,8800,3,2.0,120.0,JUST_RENOVATED,2,1.0,1.0,1.0,1,0,0,0,0,0.0,1,10.0,425000.0
10617014,APARTMENT,2,Flanders,2,East Flanders,3,Gent,9000,1,1.0,78.0,UNKNOWN,0,1.0,0.0,2.0,1,0,0,0,1,0.0,1,27.0,364500.0
10617025,APARTMENT,2,Flanders,2,Limburg,5,Hasselt,3520,4,1.0,95.0,AS_NEW,1,1.0,0.0,1.0,0,0,0,0,1,0.0,1,34.0,197500.0
10485969,APARTMENT,2,Flanders,2,West Flanders,6,Veurne,8620,4,2.0,135.0,UNKNOWN,0,1.0,0.0,1.0,1,0,0,0,1,0.0,1,0.0,699000.0
10617076,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2530,4,2.0,120.0,GOOD,3,1.0,0.0,0.0,1,0,0,0,0,0.0,1,21.0,480000.0
