postalCode,city,municipality,latitude,longtitude,cityAltName
1000,Brussel,Brussel,50.8222854,4.3815707,Bruxelles
1030,Schaarbeek,Schaarbeek,50.8222854,4.3815707,Schaerbeek
1040,Etterbeek,Etterbeek,50.8222854,4.3815707,None
1050,Ixelles,Ixelles,50.8222854,4.3815707,Elsene
1060,Saint-Gilles,Saint-Gilles,50.8222854,4.3815707,Sint-Gillis
1070,Anderlecht,Anderlecht,50.8222854,4.3815707,None
1080,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,50.8222854,4.3815707,Sint-Jans-Molenbeek
1081,Koekelberg,Koekelberg,50.8222854,4.3815707,None
1082,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,50.8222854,4.3815707,Sint-Agatha-Berchem
1083,Ganshoren,Ganshoren,50.8222854,4.3815707,None
1090,Jette,Jette,50.8222854,4.3815707,None
1140,Evere,Evere,50.8222854,4.3815707,None
1150,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,50.8222854,4.3815707,Woluwe-Saint-Pierre
1160,Auderghem,Auderghem,50.8222854,4.3815707,Oudergem
1170,Watermaal-Bosvoorde,Watermaal-Bosvoorde,50.8222854,4.3815707,Watermael-Boitsfort
1180,Uccle,Uccle,50.8222854,4.3815707,Ukkel
1190,Forest,Forest,50.8222854,4.3815707,Vorst
1200,Sint-Lambrechts-Woluwe,Sint-Lambrechts-Woluwe,50.8222854,4.3815707,Woluwe-Saint-Lambert
1210,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,50.8222854,4.3815707,Sint-Joost-ten-Node
1300,Wavre,Wavre,50.8222854,4.3815707,Waver
1300,Wavre,Limal,50.8222854,4.3815707,Waver
1310,La Hulpe,La Hulpe,50.8222854,4.3815707,Terhulpen
1315,Incourt,Incourt,50.8222854,4.3815707,None
1315,Incourt,Glimes,50.8222854,4.3815707,None
1315,Incourt,Opprebais,50.8222854,4.3815707,None
1315,Incourt,Piétrebais,50.8222854,4.3815707,None
1315,Incourt,Roux-Miroir,50.8222854,4.3815707,None
1320,Beauvechain,Beauvechain,50.8222854,4.3815707,Bevekom
1320,Beauvechain,Hamme-Mille,50.8222854,4.3815707,Bevekom
1320,Beauvechain,L'Écluse,50.8222854,4.3815707,Bevekom
1320,Beauvechain,Nodebais,50.8222854,4.3815707,Bevekom
1320,Beauvechain,Tourinnes-la-Grosse,50.8222854,4.3815707,Bevekom
1325,Chaumont-Gistoux,Chaumont-Gistoux,50.8222854,4.3815707,None
1325,Chaumont-Gistoux,Bonlez,50.8222854,4.3815707,None
1325,Chaumont-Gistoux,Corroy-le-Grand,50.8222854,4.3815707,None
1325,Chaumont-Gistoux,Dion-le-Mont,50.8222854,4.3815707,None
1325,Chaumont-Gistoux,Dion-le-Val,50.8222854,4.3815707,None
1325,Chaumont-Gistoux,Longueville,50.8222854,4.3815707,None
1330,Rixensart,Rixensart,50.8222854,4.3815707,None
1340,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,50.8222854,4.3815707,None
1340,Ottignies-Louvain-la-Neuve,Ottignies,50.8222854,4.3815707,None
1350,Orp-Jauche,Orp-Jauche,50.8222854,4.3815707,None
1350,Orp-Jauche,Enines,50.8222854,4.3815707,None
1350,Orp-Jauche,Folx-les-Caves,50.8222854,4.3815707,None
1350,Orp-Jauche,Jandrain-Jandrenouille,50.8222854,4.3815707,None
1350,Orp-Jauche,Jauche,50.8222854,4.3815707,None
1350,Orp-Jauche,Marilles,50.8222854,4.3815707,None
1350,Orp-Jauche,Noduwez,50.8222854,4.3815707,None
1350,Orp-Jauche,Orp-le-Grand,50.8222854,4.3815707,None
1357,Hélécine,Hélécine,50.8222854,4.3815707,None
1357,Hélécine,Linsmeau,50.8222854,4.3815707,None
1357,Hélécine,Neerheylissem,50.8222854,4.3815707,None
1357,Hélécine,Opheylissem,50.8222854,4.3815707,None
1360,Perwez,Perwez,50.8222854,4.3815707,Perwijs
1360,Perwez,Malèves-Sainte-Marie-Wastines,50.8222854,4.3815707,Perwijs
1360,Perwez,Orbais,50.8222854,4.3815707,Perwijs
1360,Perwez,Thorembais-les-Béguines,50.8222854,4.3815707,Perwijs
1360,Perwez,Thorembais-Saint-Trond,50.8222854,4.3815707,Perwijs
1367,Ramillies,Ramillies,50.8222854,4.3815707,None
1367,Ramillies,Autre-Église,50.8222854,4.3815707,None
1367,Ramillies,Bomal,50.8222854,4.3815707,None
1367,Ramillies,Geest-Gérompont-Petit-Rosière,50.8222854,4.3815707,None
1367,Ramillies,Grand-Rosière-Hottomont,50.8222854,4.3815707,None
1367,Ramillies,Huppaye,50.8222854,4.3815707,None
1367,Ramillies,Mont-Saint-André,50.8222854,4.3815707,None
1367,Ramillies,Ramillies-Offus,50.8222854,4.3815707,None
1370,Jodoigne,Jodoigne,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Dongelberg,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Jauchelette,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Jodoigne-Souveraine,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Lathuy,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Mélin,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Piétrain,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Saint-Jean-Geest,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Saint-Remy-Geest,50.8222854,4.3815707,Geldenaken
1370,Jodoigne,Zétrud-Lumay,50.8222854,4.3815707,Geldenaken
1380,Lasne,Lasne,50.8222854,4.3815707,None
1380,Lasne,Couture-Saint-Germain,50.8222854,4.3815707,None
1380,Lasne,Lasne-Chapelle-Saint-Lambert,50.8222854,4.3815707,None
1380,Lasne,Maransart,50.8222854,4.3815707,None
1380,Lasne,Ohain,50.8222854,4.3815707,None
1380,Lasne,Plancenoit,50.8222854,4.3815707,None
1390,Grez-Doiceau,Grez-Doiceau,50.8222854,4.3815707,Graven
1390,Grez-Doiceau,Archennes,50.8222854,4.3815707,Graven
